# Audio Event Override Mappings for LOTR Conquest
# Format: id_hex,name,category,confidence,notes
# Categories: HERO, COMBAT, UI, VOICE, EFFECT, CREATURE, AMBIENT, SWITCH
# Confidence: 100 = FNV-1 hash mathematically proven (ONLY trustworthy entries)
#
# This file contains ONLY FNV-cracked names - mathematically verified original strings
# Last updated: 2024-12-07

# ============================================================================
# SWITCH GROUPS (FNV cracked) - Used in TXTP filenames as [group_id=value_id]
# ============================================================================
0x9EA3031A,creature,SWITCH,100,FNV cracked - switch group for creature type (2661483290)
0xE810D505,weapon,SWITCH,100,FNV cracked - switch group for weapon type (3893417221)
0x485FC991,ability,SWITCH,100,FNV cracked - switch group for ability type (1214237073)
0xE6640542,material,SWITCH,100,FNV cracked - switch group for impact material (3865314626)
0x67053B33,player_controlled,SWITCH,100,FNV cracked - switch group for player vs AI (1728396083)

# ============================================================================
# SWITCH VALUES - Creature Types (FNV cracked)
# ============================================================================
0x23796AE5,orc,SWITCH,100,FNV cracked - creature value (595159781)
0xCF1D70C5,oliphaunt,SWITCH,100,FNV cracked - creature value (3474813125)
0xE7B516CC,human,SWITCH,100,FNV cracked - creature value (3887404748)
0xD259D8E6,troll,SWITCH,100,FNV cracked - creature value (3529103590)
0x0DAD9A22,gandalf,SWITCH,100,FNV cracked - creature value (229480994)
0x10737617,mouthofsauron,SWITCH,100,FNV cracked - creature value (276002327)

# ============================================================================
# SWITCH VALUES - Weapon Types (FNV cracked)
# ============================================================================
0x924E78C4,sword,SWITCH,100,FNV cracked - weapon value (2454616260)
0x4066CEF9,staff,SWITCH,100,FNV cracked - weapon value (1080479481)
0x2099B90F,bow,SWITCH,100,FNV cracked - weapon value (546945295)
0x3C0EFC22,daggers,SWITCH,100,FNV cracked - weapon value (1007615010)
0x267A8D5B,punch,SWITCH,100,FNV cracked - weapon value (645565787)
0x820C394F,kick,SWITCH,100,FNV cracked - weapon value (2181839183)

# ============================================================================
# SWITCH VALUES - Material Types (FNV cracked)
# ============================================================================
0x48896D1C,stone,SWITCH,100,FNV cracked - material value (1216965916)
0x7AAB588A,wood,SWITCH,100,FNV cracked - material value (2058049674)
0x82DEC1EA,dirt,SWITCH,100,FNV cracked - material value (2195636714)
0x92242E32,metal_armor,SWITCH,100,FNV cracked - material value (2451844658)

# ============================================================================
# SWITCH VALUES - Player Controlled (FNV cracked)
# ============================================================================
0x3A6189A6,yes,SWITCH,100,FNV cracked - player_controlled value (979470758)
0x6377188C,no,SWITCH,100,FNV cracked - player_controlled value (1668749452)

# ============================================================================
# CREATURE SFX - Balrog (FNV cracked)
# ============================================================================
0x23673581,balrog_attack,CREATURE,100,FNV cracked
0x51AA84A5,balrog_death,CREATURE,100,FNV cracked
0x1C783761,balrog_swing,CREATURE,100,FNV cracked
0xB1451A02,balrog_land,CREATURE,100,FNV cracked
0x535EE5FD,balrog_fire,CREATURE,100,FNV cracked
0x8E8CF32D,balrog_intro,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Troll (FNV cracked)
# ============================================================================
0x026EFC98,troll_hit,CREATURE,100,FNV cracked
0x8F491399,troll_death,CREATURE,100,FNV cracked
0xFA48A1C5,troll_attack,CREATURE,100,FNV cracked
0xFF3CCDE5,troll_swing,CREATURE,100,FNV cracked
0xAB23C8BF,troll_taunt,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Warg (FNV cracked)
# ============================================================================
0x15F8E9F2,warg_hit,CREATURE,100,FNV cracked
0xD74E4263,warg_attack,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Orc (FNV cracked)
# ============================================================================
0xD6AB3876,orc_death,CREATURE,100,FNV cracked
0xA89B2F54,orc_attack,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Ent (FNV cracked)
# ============================================================================
0x6BA9E72B,ent_death,CREATURE,100,FNV cracked
0x24963D95,ent_taunt,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Horse (FNV cracked)
# ============================================================================
0xC76D6276,horse_hit,CREATURE,100,FNV cracked
0x6377AA77,horse_death,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Oliphaunt (FNV cracked)
# ============================================================================
0x54C51D16,oliphaunt_death,CREATURE,100,FNV cracked
0x5D31F61C,oli_attack,CREATURE,100,FNV cracked
0xD66BA0F6,oliphaunt_intro,CREATURE,100,FNV cracked

# ============================================================================
# CREATURE SFX - Other (FNV cracked)
# ============================================================================
0x620D5EDF,bite,CREATURE,100,FNV cracked
0xC6480CCD,creature_death,CREATURE,100,FNV cracked
0xFCDEC004,nazgul_scream,CREATURE,100,FNV cracked
0xC0054CBA,eagle_cry,CREATURE,100,FNV cracked

# ============================================================================
# HERO EVENTS (FNV cracked)
# ============================================================================
0xD64B9B75,gandalf_death,HERO,100,FNV cracked
0x290A9C4F,frodo_spawn,HERO,100,FNV cracked
0xC6E23B04,stop_frodo_spawn,HERO,100,FNV cracked
0x202686D3,sauron_mace_attack,HERO,100,FNV cracked
0x5B941D6E,gimli_charge,HERO,100,FNV cracked
0xCCC1C170,elrond_charge,HERO,100,FNV cracked
